QuarterBass Drumeat Count,Offset (Quarter LenSnare Drumth),Instrument1,Instrument2,Instrument1 Duration,Instrument2 Duration,Beat Subdivision
575,143.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
576,143.75,,,,,
577,144,Snare Drum, Hi-Hat (Open),[0.5, 1.0],1st Quarter
578,144.25,,,,,
579,144.5,Snare Drum,,[0.5],,3rd Quarter
580,144.75,,,,,
581,145,Snare Drum,Bass Drum,[0.5, 1.0],1st Quarter
582,145.25,,,,,
583,145.5,Snare Drum,,[0.5],,3rd Quarter
584,145.75,,,,,
585,146,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
586,146.25,,,,,
587,146.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
588,146.75,,,,,
589,147,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
590,147.25,,,,,
591,147.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
592,147.75,,,,,
593,148,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
594,148.25,,,,,
595,148.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
596,148.75,,,,,
597,149,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
598,149.25,,,,,
599,149.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
600,149.75,,,,,
601,150,Snare Drum,,[0.5],,1st Quarter
602,150.25,,,,,
603,150.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
604,150.75,,,,,
605,151,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
606,151.25,,,,,
607,151.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
608,151.75,,,,,
609,152,Snare Drum, Hi-Hat (Open),[0.5, 1.0],1st Quarter
610,152.25,,,,,
611,152.5,Snare Drum,,[0.5],,3rd Quarter
612,152.75,,,,,
613,153,Snare Drum,Bass Drum,[0.5, 1.0],1st Quarter
614,153.25,,,,,
615,153.5,Snare Drum,,[0.5],,3rd Quarter
616,153.75,,,,,
617,154,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
618,154.25,,,,,
