Beat Count,Instrument 1,Instrument 2,Offset (Quarter Length)
224,Bass Drum,Hi-Hat (Open),55.75
e,,,55.8125
&,Hi-Hat (Open),,55.875
a,,,55.9375
225,Hi-Hat (Open),,56
e,,,56.0625
&,Bass Drum,Hi-Hat (Open),56.125
a,,,56.1875
226,Bass Drum,Hi-Hat (Open),56.25
e,,,56.3125
&,Hi-Hat (Open),,56.375
a,,,56.4375
227,Snare Drum,Hi-Hat (Open),56.5
e,,,56.5625
&,Bass Drum,Hi-Hat (Open),56.625
a,,,56.6875
228,Bass Drum,Hi-Hat (Open),56.75
e,,,56.8125
&,Hi-Hat (Open),,56.875
a,,,56.9375
229,Hi-Hat (Open),,57
e,,,57.0625
&,Bass Drum,Hi-Hat (Open),57.125
a,,,57.1875
230,Bass Drum,Hi-Hat (Open),57.25
e,,,57.3125
&,Hi-Hat (Open),,57.375
a,,,57.4375
231,Snare Drum,Hi-Hat (Open),57.5
e,,,57.5625
&,Bass Drum,Hi-Hat (Open),57.625
a,,,57.6875
232,Bass Drum,Hi-Hat (Open),57.75
e,,,57.8125
&,Hi-Hat (Open),,57.875
a,,,57.9375
233,Hi-Hat (Open),,58
e,,,58.0625
&,Bass Drum,Hi-Hat (Open),58.125
a,,,58.1875
234,Bass Drum,Hi-Hat (Open),58.25
e,,,58.3125
&,Hi-Hat (Open),,58.375
a,,,58.4375
235,Snare Drum,Hi-Hat (Open),58.5
e,,,58.5625
&,Bass Drum,Hi-Hat (Open),58.625
a,,,58.6875
236,Bass Drum,Hi-Hat (Open),58.75
e,,,58.8125
&,Hi-Hat (Open),,58.875
a,,,58.9375
237,Hi-Hat (Open),,59
e,,,59.0625
&,Bass Drum,Hi-Hat (Open),59.125
a,,,59.1875
238,Bass Drum,Hi-Hat (Open),59.25
e,,,59.3125
&,Snare Drum,Tom-tom,59.375
a,,,59.4375
239,Hi-Hat (Open),,59.5
e,,,59.5625
&,Bass Drum,Hi-Hat (Open),59.625
a,,,59.6875
240,Snare Drum,Tom-tom,59.75
e,,,59.8125
&,Bass Drum,,59.875
a,,,59.9375
241,Snare Drum,Tom-tom,60
e,,,60.0625
&,,,60.125
a,,,60.1875
242,Bass Drum,Tom-tom,60.25
e,,,60.3125
&,Hi-Hat (Open),,60.375
a,,,60.4375
243,Snare Drum,Hi-Hat (Open),60.5
e,,,60.5625
&,Bass Drum,Tom-tom,60.625
a,,,60.6875
244,Hi-Hat (Open),,60.75
e,,,60.8125
&,Bass Drum,Hi-Hat (Open),60.875
a,,,60.9375
245,Snare Drum,Hi-Hat (Open),61
e,,,61.0625
&,Hi-Hat (Open),,61.125
a,,,61.1875
246,Bass Drum,Tom-tom,61.25
e,,,61.3125
&,Hi-Hat (Open),,61.375
a,,,61.4375
247,Snare Drum,Hi-Hat (Open),61.5
e,,,61.5625
&,Bass Drum,Tom-tom,61.625
a,,,61.6875
248,Hi-Hat (Open),,61.75
e,,,61.8125
&,Bass Drum,Hi-Hat (Open),61.875
a,,,61.9375
249,Snare Drum,Hi-Hat (Open),62
e,,,62.0625
&,Bass Drum,Hi-Hat (Open),62.125
a,,,62.1875
250,Bass Drum,Tom-tom,62.25
e,,,62.3125
&,Hi-Hat (Open),,62.375
a,,,62.4375
251,Snare Drum,Hi-Hat (Open),62.5
e,,,62.5625
&,Bass Drum,Hi-Hat (Open),62.625
a,,,62.6875
252,Bass Drum,Hi-Hat (Open),62.75
e,,,62.8125
&,Hi-Hat (Open),,62.875
a,,,62.9375
253,Snare Drum,Hi-Hat (Open),63
e,,,63.0625
&,Bass Drum,Hi-Hat (Open),63.125
a,,,63.1875
254,Bass Drum,Hi-Hat (Open),63.25
e,,,63.3125
